bareme,anciennete,echelle
26537.08,43,201/1
26537.08,44,201/1
26537.08,45,201/1
15102.0,0,201/2
15377.42,1,201/2
15652.84,2,201/2
16228.41,3,201/2
16228.41,4,201/2
16866.86,5,201/2
16866.86,6,201/2
17505.31,7,201/2
17505.31,8,201/2
18443.91,9,201/2
18443.91,10,201/2
19082.36,11,201/2
19082.36,12,201/2
19720.81,13,201/2
19720.81,14,201/2
20359.26,15,201/2
20359.26,16,201/2
20997.71,17,201/2
20997.71,18,201/2
21636.16,19,201/2
21636.16,20,201/2
22274.61,21,201/2
22274.61,22,201/2
22913.06,23,201/2
22913.06,24,201/2
23551.51,25,201/2
23551.51,26,201/2
24189.96,27,201/2
24189.96,28,201/2
24828.41,29,201/2
24828.41,30,201/2
25466.86,31,201/2
25466.86,32,201/2
25846.15,33,201/2
25846.15,34,201/2
26225.44,35,201/2
26225.44,36,201/2
26604.73,37,201/2
26604.73,38,201/2
26984.02,39,201/2
26984.02,40,201/2
27363.31,41,201/2
27363.31,42,201/2
27363.31,43,201/2
27363.31,44,201/2
27363.31,45,201/2
14275.77,0,202/1
14551.19,1,202/1
14826.61,2,202/1
15402.18,3,202/1
15402.18,4,202/1
16040.63,5,202/1
16040.63,6,202/1
16679.08,7,202/1
16679.08,8,202/1
17617.68,9,202/1
17617.68,10,202/1
18256.13,11,202/1
18256.13,12,202/1
18894.58,13,202/1
18894.58,14,202/1
19533.03,15,202/1
19533.03,16,202/1
20171.48,17,202/1
20171.48,18,202/1
20809.93,19,202/1
20809.93,20,202/1
21448.38,21,202/1
21448.38,22,202/1
22086.83,23,202/1
22086.83,24,202/1
22725.28,25,202/1
22725.28,26,202/1
23363.73,27,202/1
23363.73,28,202/1
24002.18,29,202/1
24002.18,30,202/1
24640.63,31,202/1
24640.63,32,202/1
25019.92,33,202/1
25019.92,34,202/1
25399.21,35,202/1
25399.21,36,202/1
25778.5,37,202/1
25778.5,38,202/1
26157.79,39,202/1
26157.79,40,202/1
26537.08,41,202/1
26537.08,42,202/1
26537.08,43,202/1
26537.08,44,202/1
26537.08,45,202/1
15102.0,0,202/2
15377.42,1,202/2
15652.84,2,202/2
16228.41,3,202/2
16228.41,4,202/2
16866.86,5,202/2
16866.86,6,202/2
17505.31,7,202/2
17505.31,8,202/2
18443.91,9,202/2
18443.91,10,202/2
19082.36,11,202/2
19082.36,12,202/2
19720.81,13,202/2
19720.81,14,202/2
20359.26,15,202/2
20359.26,16,202/2
20997.71,17,202/2
20997.71,18,202/2
21636.16,19,202/2
21636.16,20,202/2
22274.61,21,202/2
22274.61,22,202/2
22913.06,23,202/2
22913.06,24,202/2
23551.51,25,202/2
23551.51,26,202/2
24189.96,27,202/2
24189.96,28,202/2
24828.41,29,202/2
24828.41,30,202/2
25466.86,31,202/2
25466.86,32,202/2
25846.15,33,202/2
25846.15,34,202/2
26225.44,35,202/2
26225.44,36,202/2
26604.73,37,202/2
26604.73,38,202/2
26984.02,39,202/2
26984.02,40,202/2
27363.31,41,202/2
27363.31,42,202/2
27363.31,43,202/2
27363.31,44,202/2
27363.31,45,202/2
15476.67,0,210/1
15752.09,1,210/1
16027.51,2,210/1
16302.93,3,210/1
16302.93,4,210/1
16941.38,5,210/1
16941.38,6,210/1
17579.83,7,210/1
17579.83,8,210/1
18218.28,9,210/1
18218.28,10,210/1
18856.73,11,210/1
18856.73,12,210/1
19495.18,13,210/1
19495.18,14,210/1
20133.63,15,210/1
20133.63,16,210/1
20772.08,17,210/1
20772.08,18,210/1
21410.53,19,210/1
21410.53,20,210/1
22048.98,21,210/1
22048.98,22,210/1
22687.43,23,210/1
22687.43,24,210/1
23325.88,25,210/1
23325.88,26,210/1
23964.33,27,210/1
23964.33,28,210/1
24602.78,29,210/1
24602.78,30,210/1
25241.23,31,210/1
25241.23,32,210/1
25241.23,33,210/1
25241.23,34,210/1
25399.21,35,210/1
25399.21,36,210/1
25778.5,37,210/1
25778.5,38,210/1
26157.79,39,210/1
26157.79,40,210/1
26537.08,41,210/1
26537.08,42,210/1
26537.08,43,210/1
26537.08,44,210/1
26537.08,45,210/1
16302.9,0,210/2
16578.32,1,210/2
16853.74,2,210/2
17129.16,3,210/2
17129.16,4,210/2
17767.61,5,210/2
17767.61,6,210/2
18406.06,7,210/2
18406.06,8,210/2
19044.51,9,210/2
19044.51,10,210/2
19682.96,11,210/2
19682.96,12,210/2
20321.41,13,210/2
20321.41,14,210/2
20959.86,15,210/2
20959.86,16,210/2
21598.31,17,210/2
21598.31,18,210/2
22236.76,19,210/2
22236.76,20,210/2
22875.21,21,210/2
22875.21,22,210/2
23513.66,23,210/2
23513.66,24,210/2
24152.11,25,210/2
24152.11,26,210/2
24790.56,27,210/2
24790.56,28,210/2
25429.01,29,210/2
25429.01,30,210/2
26067.46,31,210/2
26067.46,32,210/2
26067.46,33,210/2
26067.46,34,210/2
26225.44,35,210/2
26225.44,36,210/2
26604.73,37,210/2
26604.73,38,210/2
26984.02,39,210/2
26984.02,40,210/2
27363.31,41,210/2
27363.31,42,210/2
27363.31,43,210/2
27363.31,44,210/2
27363.31,45,210/2
19383.38,0,220/1
19658.8,1,220/1
19934.22,2,220/1
20209.64,3,220/1
20209.64,4,220/1
20848.09,5,220/1
20848.09,6,220/1
21486.54,7,220/1
21486.54,8,220/1
22124.99,9,220/1
22124.99,10,220/1
22763.44,11,220/1
22763.44,12,220/1
23401.89,13,220/1
23401.89,14,220/1
24040.34,15,220/1
24040.34,16,220/1
24678.79,17,220/1
24678.79,18,220/1
25317.24,19,220/1
25317.24,20,220/1
25955.69,21,220/1
25955.69,22,220/1
26594.14,23,220/1
26594.14,24,220/1
